scenario_id,domain,student_profile,model_name,runner_type,selected_action,engagement_score,frustration_score,efficiency_score,total_reward
scenario_031,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_032,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_032,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.4,0.7,0.75
scenario_033,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_033,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_034,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.9,1.0
scenario_034,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_035,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_035,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_036,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_036,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.8,0.7
scenario_037,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_037,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_038,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_038,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_039,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_039,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.4,0.7,0.75
scenario_040,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_040,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_041,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_041,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_042,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_042,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_043,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_043,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.5,0.6,0.5
scenario_044,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.6,0.9,0.4,-0.1
scenario_044,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.6,0.8,0.5
scenario_045,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_045,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_046,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.5,0.8,0.6
scenario_046,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_047,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_047,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.5,0.8,0.6
scenario_048,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_048,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.5,0.7,0.65
scenario_049,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_049,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.8,0.5
scenario_050,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.6,0.9,0.4,-0.1
scenario_050,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.8,0.7
scenario_051,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_051,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_052,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_052,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_053,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_053,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.8,0.7
scenario_054,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_054,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.6,0.8,0.5
scenario_055,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_055,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_056,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_056,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.2,0.8,0.9
scenario_057,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.6,0.7,0.55
scenario_057,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.8,0.5
scenario_058,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_058,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_059,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_059,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_060,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_060,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_061,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_061,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.5,0.7,0.65
scenario_062,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.2,0.8,0.9
scenario_062,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_063,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_063,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_064,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_064,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_065,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.5,0.6,0.5
scenario_065,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.6,0.8,0.5
scenario_066,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_066,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_067,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_067,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.5,0.6,0.5
scenario_068,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_068,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.9,1.0
scenario_069,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_069,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.8,0.7
scenario_070,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.8,0.7
scenario_070,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.8,0.7
scenario_071,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_071,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.5,0.7,0.65
scenario_072,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_072,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_073,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_073,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.2,0.8,0.9
scenario_074,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.6,0.7,0.55
scenario_074,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.8,0.5
scenario_075,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_075,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_076,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.7,0.6,0.3
scenario_076,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_077,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_077,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_078,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_078,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_079,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_079,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.9,1.0
scenario_080,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_080,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_081,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_081,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_082,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_082,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.2,0.8,0.9
scenario_083,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_083,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_084,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_084,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_085,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_085,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_086,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_086,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_087,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.5,0.6,0.5
scenario_087,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.5,0.35
scenario_088,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_088,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.2,0.8,0.9
scenario_089,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.8,0.7
scenario_089,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_090,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_090,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_091,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_091,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_092,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_092,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_093,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_093,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.2,0.8,0.9
scenario_094,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.5,0.6,0.5
scenario_094,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_095,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.9,1.0
scenario_095,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.9,1.0
scenario_096,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.2,0.8,0.9
scenario_096,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_097,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_097,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_098,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_098,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_099,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_099,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_100,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.5,0.6,0.5
scenario_100,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.5,0.6,0.5
scenario_101,High School Math,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_101,High School Math,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.4,0.7,0.75
scenario_102,Python Programming,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_102,Python Programming,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.9,1.0
scenario_103,Logical Reasoning,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.9,1.0
scenario_103,Logical Reasoning,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_104,High School Math,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_104,High School Math,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.4,0.7,0.75
scenario_105,Python Programming,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_105,Python Programming,Advanced Student,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_106,Logical Reasoning,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_106,Logical Reasoning,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_107,High School Math,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_107,High School Math,Advanced Student,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_108,Python Programming,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_108,Python Programming,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.9,1.0
scenario_109,Logical Reasoning,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.9,0.2,0.8,1.0
scenario_109,Logical Reasoning,Advanced Student,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.9,1.0
scenario_110,High School Math,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.6,0.9,0.4,-0.1
scenario_110,High School Math,Advanced Student,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_111,High School Math,Advanced Student,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.9,1.0
